method,seed,mean_success,mean_seam_failure_rate,mean_barrier_violation_rate,mean_basin_alignment,mean_descent_continuity,mean_damage_rate,mean_composition_cost,mean_energy_model_error,mean_risk_calibration_error,mean_abstention_rate,mean_predicted_seam_risk,mean_realized_seam_breach,mean_composition_utility,ci95_success,ci95_seam_failure_rate,ci95_barrier_violation_rate,ci95_basin_alignment,ci95_descent_continuity,ci95_damage_rate,ci95_composition_cost,ci95_energy_model_error,ci95_risk_calibration_error,ci95_abstention_rate,ci95_predicted_seam_risk,ci95_realized_seam_breach,ci95_composition_utility,rows
barrier_certified_energy_composer_v5,0,0.799107,0.068694,0.085090,0.756593,0.740525,0.070674,0.189238,0.112044,0.050906,0.104338,0.102024,0.094563,0.885673,0.021429,0.000782,0.000883,0.000791,0.000920,0.000730,0.000267,0.001178,0.000325,0.000547,0.001309,0.001212,0.021796,1344
barrier_certified_energy_composer_v5,1,0.813988,0.068927,0.084898,0.756908,0.740655,0.070537,0.189040,0.112051,0.050998,0.104274,0.102216,0.095193,0.900790,0.020811,0.000777,0.000891,0.000779,0.000921,0.000729,0.000268,0.001176,0.000329,0.000542,0.001319,0.001202,0.020981,1344
barrier_certified_energy_composer_v5,2,0.799107,0.068940,0.085191,0.756906,0.740814,0.070591,0.189253,0.111880,0.050915,0.104219,0.102283,0.095182,0.885728,0.021429,0.000793,0.000891,0.000775,0.000928,0.000726,0.000266,0.001181,0.000320,0.000543,0.001343,0.001219,0.021774,1344
barrier_certified_energy_composer_v5,3,0.794643,0.068934,0.085028,0.756357,0.740572,0.070609,0.189238,0.112041,0.050912,0.104233,0.102197,0.095221,0.881076,0.021605,0.000786,0.000882,0.000770,0.000930,0.000723,0.000254,0.001166,0.000332,0.000548,0.001324,0.001203,0.021870,1344
barrier_certified_energy_composer_v5,4,0.811012,0.069070,0.084929,0.756906,0.740965,0.070624,0.189203,0.111886,0.051066,0.104367,0.102172,0.095222,0.897650,0.020939,0.000790,0.000895,0.000789,0.000901,0.000731,0.000265,0.001170,0.000333,0.000544,0.001332,0.001217,0.021310,1344
barrier_certified_energy_composer_v5,5,0.779018,0.069101,0.084996,0.756254,0.741620,0.070566,0.189062,0.112018,0.050749,0.104252,0.102501,0.095159,0.865779,0.022191,0.000778,0.000884,0.000782,0.000906,0.000723,0.000263,0.001165,0.000324,0.000542,0.001308,0.001197,0.022550,1344
barrier_certified_energy_composer_v5,6,0.796875,0.069018,0.085135,0.756597,0.740938,0.070582,0.189433,0.112026,0.050929,0.104370,0.102507,0.095206,0.883275,0.021518,0.000793,0.000879,0.000772,0.000914,0.000729,0.000269,0.001167,0.000326,0.000541,0.001324,0.001223,0.021847,1344
barrier_certified_energy_composer_v5,7,0.810268,0.068901,0.085069,0.757139,0.741017,0.070692,0.189187,0.111950,0.050908,0.104097,0.102098,0.094873,0.897056,0.020970,0.000802,0.000880,0.000780,0.000874,0.000725,0.000265,0.001177,0.000322,0.000554,0.001337,0.001214,0.021392,1344
barrier_certified_energy_composer_v5,8,0.811756,0.068824,0.085237,0.756416,0.740940,0.070589,0.189286,0.112260,0.051049,0.104462,0.102276,0.095019,0.898024,0.020907,0.000785,0.000888,0.000788,0.000940,0.000728,0.000258,0.001170,0.000327,0.000548,0.001312,0.001203,0.021287,1344
barrier_certified_energy_composer_v5,9,0.801339,0.069139,0.085232,0.756457,0.740920,0.070648,0.189240,0.111894,0.050830,0.104109,0.102627,0.095192,0.887654,0.021339,0.000782,0.000887,0.000786,0.000879,0.000734,0.000262,0.001165,0.000327,0.000541,0.001319,0.001214,0.021834,1344
behavior_cloned_skill_chain,0,0.332589,0.328105,0.307026,0.281592,0.273921,0.089343,0.104715,0.196649,0.086317,0.084869,0.521271,0.480822,-0.311288,0.025198,0.001336,0.001447,0.001328,0.001533,0.000731,0.000232,0.001302,0.000331,0.000547,0.002199,0.002022,0.026247,1344
behavior_cloned_skill_chain,1,0.340774,0.327936,0.307130,0.281848,0.274129,0.089453,0.104492,0.196573,0.086320,0.085018,0.521278,0.480468,-0.302952,0.025349,0.001325,0.001451,0.001311,0.001482,0.000727,0.000247,0.001304,0.000333,0.000551,0.002190,0.002018,0.026255,1344
behavior_cloned_skill_chain,2,0.392857,0.327929,0.307150,0.281962,0.273707,0.089414,0.104583,0.196546,0.086344,0.084816,0.521341,0.480572,-0.250911,0.026120,0.001350,0.001437,0.001338,0.001493,0.000727,0.000243,0.001310,0.000333,0.000557,0.002211,0.002029,0.027075,1344
behavior_cloned_skill_chain,3,0.344494,0.328110,0.306868,0.281838,0.273901,0.089469,0.104666,0.196405,0.086163,0.084951,0.521197,0.480752,-0.299120,0.025415,0.001314,0.001437,0.001313,0.001512,0.000730,0.000242,0.001301,0.000332,0.000543,0.002162,0.002005,0.026414,1344
behavior_cloned_skill_chain,4,0.345982,0.327887,0.306791,0.281586,0.273773,0.089277,0.104442,0.196547,0.086381,0.084954,0.521195,0.480630,-0.297421,0.025441,0.001336,0.001435,0.001304,0.001518,0.000721,0.000243,0.001299,0.000332,0.000547,0.002201,0.002018,0.026232,1344
behavior_cloned_skill_chain,5,0.325893,0.327994,0.307064,0.281907,0.273899,0.089320,0.104508,0.196538,0.086178,0.085069,0.521325,0.480657,-0.317666,0.025068,0.001337,0.001431,0.001321,0.001497,0.000724,0.000244,0.001298,0.000331,0.000543,0.002193,0.002014,0.025889,1344
behavior_cloned_skill_chain,6,0.340774,0.327942,0.307008,0.280685,0.274020,0.089271,0.104475,0.196607,0.086185,0.084702,0.521019,0.480462,-0.302940,0.025349,0.001338,0.001445,0.001333,0.001532,0.000729,0.000240,0.001309,0.000330,0.000541,0.002202,0.002019,0.026154,1344
behavior_cloned_skill_chain,7,0.374256,0.327990,0.307191,0.281557,0.273897,0.089403,0.104449,0.196641,0.086360,0.084840,0.521434,0.480995,-0.269679,0.025882,0.001325,0.001444,0.001297,0.001513,0.000723,0.000243,0.001289,0.000323,0.000550,0.002178,0.002004,0.026580,1344
behavior_cloned_skill_chain,8,0.367560,0.328003,0.307060,0.281614,0.273115,0.089553,0.104563,0.196609,0.086301,0.085047,0.521506,0.480730,-0.276652,0.025786,0.001333,0.001428,0.001290,0.001512,0.000726,0.000246,0.001308,0.000330,0.000543,0.002185,0.002016,0.026703,1344
behavior_cloned_skill_chain,9,0.353423,0.328104,0.306698,0.281692,0.273776,0.089232,0.104519,0.196540,0.086282,0.084951,0.521380,0.480623,-0.289979,0.025567,0.001341,0.001432,0.001335,0.001521,0.000735,0.000242,0.001299,0.000334,0.000534,0.002181,0.002020,0.026246,1344
cem_trajectory_composer,0,0.547619,0.228756,0.219849,0.448336,0.437540,0.085906,0.355310,0.166132,0.079434,0.087285,0.367232,0.337430,0.112577,0.026620,0.001089,0.001220,0.001117,0.001323,0.000735,0.000415,0.001257,0.000327,0.000553,0.001824,0.001660,0.027170,1344
cem_trajectory_composer,1,0.549851,0.228764,0.219659,0.447914,0.438294,0.085900,0.355190,0.166336,0.079443,0.087535,0.367031,0.337127,0.114933,0.026608,0.001096,0.001222,0.001118,0.001277,0.000733,0.000421,0.001259,0.000328,0.000546,0.001833,0.001661,0.027291,1344
cem_trajectory_composer,2,0.555060,0.228553,0.219689,0.448292,0.438070,0.085935,0.355199,0.166290,0.079481,0.087224,0.366917,0.337049,0.120370,0.026579,0.001105,0.001214,0.001103,0.001298,0.000726,0.000422,0.001253,0.000334,0.000556,0.001831,0.001678,0.027207,1344
cem_trajectory_composer,3,0.547619,0.228651,0.219732,0.448397,0.437898,0.085841,0.355274,0.166351,0.079593,0.087237,0.366874,0.337212,0.112778,0.026620,0.001098,0.001200,0.001124,0.001301,0.000729,0.000424,0.001271,0.000330,0.000543,0.001820,0.001679,0.027048,1344
cem_trajectory_composer,4,0.546875,0.228752,0.219703,0.447937,0.438118,0.085990,0.355206,0.166183,0.079542,0.087323,0.367133,0.337097,0.111854,0.026624,0.001116,0.001209,0.001150,0.001284,0.000725,0.000421,0.001263,0.000324,0.000543,0.001835,0.001692,0.027277,1344
cem_trajectory_composer,5,0.521577,0.228819,0.219866,0.448422,0.438018,0.086093,0.355514,0.166405,0.079302,0.087504,0.367347,0.337240,0.086285,0.026717,0.001116,0.001215,0.001148,0.001301,0.000730,0.000431,0.001255,0.000333,0.000538,0.001839,0.001680,0.027338,1344
cem_trajectory_composer,6,0.575893,0.228574,0.219918,0.448294,0.438373,0.085973,0.355272,0.166404,0.079608,0.087305,0.367136,0.337079,0.140890,0.026432,0.001107,0.001227,0.001110,0.001292,0.000730,0.000437,0.001265,0.000329,0.000546,0.001843,0.001697,0.026930,1344
cem_trajectory_composer,7,0.564732,0.228687,0.219697,0.448166,0.437987,0.086032,0.355401,0.166245,0.079355,0.087559,0.366973,0.337188,0.129738,0.026517,0.001107,0.001212,0.001124,0.001305,0.000733,0.000431,0.001256,0.000319,0.000553,0.001830,0.001681,0.027121,1344
cem_trajectory_composer,8,0.569196,0.228717,0.219629,0.448014,0.437958,0.086038,0.355245,0.166397,0.079510,0.087447,0.366959,0.337247,0.134079,0.026484,0.001099,0.001206,0.001110,0.001305,0.000727,0.000422,0.001262,0.000323,0.000546,0.001822,0.001673,0.027199,1344
cem_trajectory_composer,9,0.558036,0.228565,0.219876,0.447870,0.438259,0.085951,0.355237,0.166471,0.079299,0.087158,0.367070,0.337199,0.123103,0.026561,0.001101,0.001213,0.001145,0.001297,0.000731,0.000426,0.001278,0.000328,0.000548,0.001833,0.001677,0.027158,1344
diffusion_skill_stitcher,0,0.508185,0.255654,0.242917,0.408027,0.400084,0.086999,0.231356,0.173807,0.081478,0.086855,0.408778,0.375908,0.034980,0.026738,0.001168,0.001274,0.001153,0.001375,0.000723,0.000336,0.001269,0.000323,0.000550,0.001939,0.001785,0.027430,1344
diffusion_skill_stitcher,1,0.478423,0.255863,0.242997,0.408117,0.400184,0.086938,0.231264,0.173703,0.081254,0.086854,0.408924,0.376248,0.005279,0.026717,0.001162,0.001277,0.001169,0.001338,0.000731,0.000332,0.001269,0.000330,0.000547,0.001924,0.001771,0.027344,1344
diffusion_skill_stitcher,2,0.481399,0.255584,0.242991,0.408640,0.399757,0.086992,0.231214,0.173707,0.081518,0.086813,0.408797,0.375823,0.008366,0.026723,0.001186,0.001269,0.001173,0.001352,0.000734,0.000333,0.001266,0.000330,0.000547,0.001941,0.001795,0.027574,1344
diffusion_skill_stitcher,3,0.482887,0.255644,0.242966,0.408159,0.399752,0.086914,0.231539,0.173729,0.081400,0.087074,0.408801,0.375898,0.009675,0.026726,0.001177,0.001262,0.001173,0.001339,0.000731,0.000323,0.001264,0.000328,0.000550,0.001925,0.001776,0.027578,1344
diffusion_skill_stitcher,4,0.481399,0.255761,0.243042,0.408452,0.400471,0.087001,0.231338,0.173506,0.081388,0.086832,0.408832,0.376220,0.008435,0.026723,0.001168,0.001278,0.001185,0.001372,0.000729,0.000333,0.001278,0.000335,0.000557,0.001934,0.001782,0.027392,1344
diffusion_skill_stitcher,5,0.482143,0.255578,0.242956,0.408168,0.400141,0.086997,0.231359,0.173804,0.081269,0.087047,0.408666,0.375669,0.009108,0.026725,0.001175,0.001267,0.001161,0.001359,0.000731,0.000335,0.001272,0.000330,0.000554,0.001934,0.001788,0.027422,1344
diffusion_skill_stitcher,6,0.508929,0.255809,0.242742,0.408269,0.399933,0.086908,0.231510,0.173821,0.081406,0.086811,0.408778,0.376010,0.035855,0.026737,0.001173,0.001275,0.001169,0.001335,0.000729,0.000333,0.001261,0.000319,0.000541,0.001935,0.001785,0.027526,1344
diffusion_skill_stitcher,7,0.494792,0.255628,0.243002,0.408414,0.400337,0.086934,0.231125,0.173717,0.081336,0.086708,0.408687,0.375922,0.021996,0.026740,0.001164,0.001267,0.001172,0.001337,0.000728,0.000340,0.001274,0.000332,0.000553,0.001923,0.001772,0.027344,1344
diffusion_skill_stitcher,8,0.481399,0.255911,0.242777,0.408608,0.400029,0.086777,0.231520,0.173793,0.081437,0.086955,0.408734,0.376329,0.008437,0.026723,0.001164,0.001279,0.001170,0.001352,0.000730,0.000335,0.001276,0.000334,0.000552,0.001932,0.001770,0.027392,1344
diffusion_skill_stitcher,9,0.506696,0.255862,0.242794,0.408318,0.399351,0.086982,0.231292,0.173784,0.081455,0.086896,0.408826,0.376024,0.033346,0.026739,0.001150,0.001271,0.001192,0.001332,0.000723,0.000335,0.001270,0.000330,0.000544,0.001932,0.001756,0.027451,1344
energy_compatibility_heuristic,0,0.632440,0.192994,0.189838,0.516247,0.502810,0.082978,0.305303,0.154336,0.073936,0.090008,0.308911,0.283942,0.315373,0.025786,0.001029,0.001135,0.001006,0.001179,0.000716,0.000355,0.001226,0.000328,0.000543,0.001715,0.001574,0.026272,1344
energy_compatibility_heuristic,1,0.601190,0.193037,0.189864,0.515939,0.503101,0.082951,0.305281,0.154425,0.074037,0.090434,0.309168,0.283902,0.283915,0.026188,0.001046,0.001128,0.001052,0.001203,0.000731,0.000355,0.001247,0.000324,0.000558,0.001713,0.001597,0.026517,1344
energy_compatibility_heuristic,2,0.614583,0.192655,0.189700,0.516984,0.503419,0.083125,0.305408,0.154125,0.074064,0.090214,0.308734,0.283602,0.298137,0.026030,0.001031,0.001133,0.001063,0.001213,0.000729,0.000364,0.001241,0.000333,0.000545,0.001711,0.001574,0.026551,1344
energy_compatibility_heuristic,3,0.611607,0.192743,0.190047,0.516216,0.503303,0.083113,0.305274,0.154362,0.074136,0.090311,0.308664,0.283909,0.294415,0.026067,0.001036,0.001134,0.001030,0.001199,0.000725,0.000363,0.001231,0.000320,0.000546,0.001715,0.001576,0.026447,1344
energy_compatibility_heuristic,4,0.646577,0.192933,0.189851,0.516382,0.503428,0.083213,0.305212,0.154495,0.074002,0.090250,0.309144,0.283900,0.329400,0.025567,0.001033,0.001150,0.001017,0.001193,0.000725,0.000363,0.001241,0.000330,0.000541,0.001719,0.001568,0.026133,1344
energy_compatibility_heuristic,5,0.646577,0.192855,0.189847,0.515884,0.503632,0.083106,0.305385,0.154348,0.074105,0.090246,0.309140,0.283897,0.329456,0.025567,0.001019,0.001125,0.001036,0.001199,0.000734,0.000358,0.001229,0.000325,0.000546,0.001703,0.001564,0.026066,1344
energy_compatibility_heuristic,6,0.607887,0.192905,0.189650,0.516005,0.502932,0.083136,0.305479,0.154455,0.074025,0.090407,0.309300,0.283784,0.290633,0.026112,0.001039,0.001152,0.001043,0.001203,0.000735,0.000367,0.001243,0.000324,0.000548,0.001726,0.001588,0.026575,1344
energy_compatibility_heuristic,7,0.620536,0.192975,0.190037,0.516481,0.504089,0.083013,0.305432,0.154333,0.073984,0.090244,0.309134,0.283953,0.303616,0.025953,0.001040,0.001134,0.001042,0.001189,0.000726,0.000360,0.001235,0.000327,0.000555,0.001720,0.001575,0.026134,1344
energy_compatibility_heuristic,8,0.606399,0.193027,0.189935,0.516050,0.502988,0.083093,0.305346,0.154522,0.074026,0.090400,0.309134,0.283963,0.288880,0.026129,0.001040,0.001127,0.001025,0.001214,0.000723,0.000362,0.001237,0.000329,0.000547,0.001712,0.001571,0.026532,1344
energy_compatibility_heuristic,9,0.614583,0.193130,0.189729,0.516198,0.503694,0.083120,0.305242,0.154445,0.074203,0.090150,0.309137,0.283999,0.297379,0.026030,0.001054,0.001132,0.001034,0.001200,0.000721,0.000364,0.001241,0.000328,0.000550,0.001732,0.001601,0.026649,1344
greedy_module_sequence,0,0.283482,0.370374,0.345267,0.219078,0.221540,0.090242,0.076487,0.208117,0.088344,0.084125,0.586716,0.541654,-0.461510,0.024104,0.001433,0.001523,0.001363,0.001598,0.000726,0.000225,0.001314,0.000328,0.000544,0.002332,0.002146,0.025314,1344
greedy_module_sequence,1,0.283482,0.370873,0.345076,0.219808,0.221738,0.090270,0.076623,0.208146,0.088332,0.084175,0.587155,0.542250,-0.461588,0.024104,0.001420,0.001520,0.001367,0.001592,0.000731,0.000228,0.001314,0.000334,0.000535,0.002319,0.002144,0.025219,1344
greedy_module_sequence,2,0.287946,0.370972,0.345225,0.219591,0.221136,0.090372,0.076486,0.208001,0.088093,0.084192,0.587263,0.542212,-0.457440,0.024218,0.001433,0.001536,0.001358,0.001554,0.000729,0.000224,0.001318,0.000334,0.000544,0.002355,0.002178,0.025309,1344
greedy_module_sequence,3,0.279762,0.370694,0.345252,0.219700,0.221499,0.090328,0.076567,0.208194,0.088308,0.084131,0.587276,0.541892,-0.465445,0.024008,0.001418,0.001528,0.001379,0.001593,0.000726,0.000226,0.001309,0.000332,0.000535,0.002335,0.002141,0.025024,1344
greedy_module_sequence,4,0.283482,0.370687,0.345390,0.219754,0.222058,0.090342,0.076375,0.207880,0.088236,0.083955,0.587308,0.541923,-0.461402,0.024104,0.001421,0.001524,0.001382,0.001604,0.000720,0.000216,0.001316,0.000333,0.000542,0.002333,0.002145,0.025148,1344
greedy_module_sequence,5,0.282738,0.370646,0.344916,0.219479,0.221712,0.090374,0.076591,0.208081,0.088283,0.084079,0.586718,0.541854,-0.462132,0.024085,0.001424,0.001534,0.001383,0.001570,0.000734,0.000226,0.001319,0.000335,0.000549,0.002332,0.002151,0.025004,1344
greedy_module_sequence,6,0.293899,0.370725,0.345054,0.219783,0.221197,0.090359,0.076563,0.208123,0.088352,0.084061,0.586998,0.541688,-0.451237,0.024364,0.001431,0.001523,0.001385,0.001597,0.000723,0.000221,0.001328,0.000325,0.000534,0.002330,0.002141,0.025412,1344
greedy_module_sequence,7,0.297619,0.370480,0.345036,0.219790,0.220908,0.090325,0.076434,0.207978,0.088319,0.084093,0.586730,0.541391,-0.447223,0.024453,0.001433,0.001515,0.001367,0.001589,0.000731,0.000221,0.001319,0.000329,0.000539,0.002335,0.002159,0.025483,1344
