method,split,seed,mean_success_rate,mean_seam_failure_rate,mean_barrier_violation_rate,mean_basin_alignment,mean_descent_continuity,mean_damage_rate,mean_composition_cost,mean_energy_model_error,ci95_success_rate,ci95_seam_failure_rate,ci95_barrier_violation_rate,ci95_basin_alignment,ci95_descent_continuity,ci95_damage_rate,ci95_composition_cost,ci95_energy_model_error,groups
behavior_cloned_skill_chain,combined_stress,0,0.404514,0.368051,0.338245,0.273931,0.258573,0.123652,0.110149,0.174802,0.024432,0.006207,0.006306,0.006342,0.006936,0.002704,0.001545,0.002033,48
behavior_cloned_skill_chain,combined_stress,1,0.399884,0.366440,0.338083,0.278496,0.260936,0.123204,0.109892,0.173403,0.020616,0.006689,0.005797,0.006178,0.006687,0.002670,0.001575,0.001643,48
behavior_cloned_skill_chain,combined_stress,2,0.393808,0.366059,0.339069,0.274424,0.258251,0.122535,0.110329,0.174479,0.018187,0.006762,0.006407,0.005908,0.006835,0.002586,0.001381,0.001740,48
behavior_cloned_skill_chain,combined_stress,3,0.376736,0.366217,0.337854,0.274655,0.259194,0.121887,0.110070,0.174232,0.021849,0.006907,0.006583,0.006627,0.006008,0.002650,0.001624,0.002145,48
behavior_cloned_skill_chain,combined_stress,4,0.377604,0.366805,0.339193,0.277135,0.261495,0.122721,0.110387,0.173921,0.026546,0.006728,0.006518,0.006337,0.006725,0.002579,0.001807,0.002130,48
behavior_cloned_skill_chain,combined_stress,5,0.380787,0.366761,0.337623,0.275821,0.261504,0.122913,0.109762,0.173672,0.023628,0.007005,0.006936,0.006522,0.006089,0.002597,0.001464,0.002422,48
behavior_cloned_skill_chain,combined_stress,6,0.406539,0.367924,0.338488,0.277651,0.258855,0.123636,0.111428,0.173937,0.018407,0.006822,0.006569,0.006483,0.005908,0.002781,0.001518,0.002193,48
behavior_cloned_skill_chain,in_distribution,0,0.525174,0.316098,0.291351,0.325494,0.307305,0.112036,0.102464,0.160020,0.020241,0.006711,0.006168,0.006287,0.006458,0.002739,0.001526,0.001960,48
behavior_cloned_skill_chain,in_distribution,1,0.506655,0.315660,0.292378,0.327885,0.304847,0.111007,0.103391,0.159902,0.022622,0.006241,0.006770,0.005796,0.006224,0.002739,0.001340,0.002151,48
behavior_cloned_skill_chain,in_distribution,2,0.539063,0.315435,0.291287,0.328004,0.308433,0.111992,0.103408,0.160801,0.019964,0.006644,0.006436,0.005896,0.005874,0.002916,0.001491,0.002203,48
behavior_cloned_skill_chain,in_distribution,3,0.514468,0.314877,0.292318,0.326126,0.307658,0.111762,0.102495,0.159482,0.026698,0.007020,0.006576,0.006370,0.005862,0.002702,0.001464,0.002005,48
behavior_cloned_skill_chain,in_distribution,4,0.528935,0.315961,0.290861,0.325450,0.308115,0.111599,0.103056,0.160733,0.019768,0.006426,0.006406,0.006349,0.005597,0.002859,0.001542,0.002385,48
behavior_cloned_skill_chain,in_distribution,5,0.521701,0.316436,0.290408,0.325277,0.303835,0.111776,0.102589,0.160607,0.022225,0.006872,0.006306,0.005931,0.005917,0.002718,0.001609,0.002149,48
behavior_cloned_skill_chain,in_distribution,6,0.512731,0.317367,0.292614,0.323083,0.303673,0.111710,0.103710,0.160079,0.020899,0.006994,0.006072,0.006599,0.005924,0.002702,0.001434,0.002164,48
behavior_cloned_skill_chain,long_horizon_chain,0,0.420718,0.337123,0.311315,0.303595,0.287041,0.116075,0.106147,0.167370,0.023280,0.006670,0.006507,0.006267,0.006543,0.002676,0.001198,0.002037,48
behavior_cloned_skill_chain,long_horizon_chain,1,0.425058,0.337385,0.311280,0.305742,0.289277,0.116352,0.106267,0.166743,0.022821,0.006586,0.006255,0.005932,0.007049,0.002876,0.001324,0.001885,48
behavior_cloned_skill_chain,long_horizon_chain,2,0.421007,0.337151,0.311568,0.306541,0.287155,0.116461,0.106659,0.165065,0.019873,0.007075,0.006238,0.006727,0.006694,0.002759,0.001672,0.002099,48
behavior_cloned_skill_chain,long_horizon_chain,3,0.425347,0.336731,0.312089,0.307130,0.287887,0.116576,0.106230,0.166205,0.021454,0.006897,0.006296,0.006245,0.006331,0.002833,0.001407,0.001768,48
behavior_cloned_skill_chain,long_horizon_chain,4,0.437789,0.336649,0.311771,0.304797,0.286984,0.116585,0.106694,0.166774,0.019385,0.006615,0.006457,0.006246,0.005649,0.002883,0.001632,0.002107,48
behavior_cloned_skill_chain,long_horizon_chain,5,0.421007,0.337453,0.310476,0.305866,0.288071,0.117387,0.105459,0.166196,0.024932,0.006803,0.006143,0.006836,0.005884,0.002932,0.001205,0.002207,48
behavior_cloned_skill_chain,long_horizon_chain,6,0.445602,0.337092,0.311605,0.303939,0.288715,0.116860,0.107328,0.166824,0.022357,0.006563,0.006448,0.005409,0.006006,0.002553,0.001297,0.001910,48
behavior_cloned_skill_chain,new_skill_pair,0,0.469907,0.340842,0.315757,0.301593,0.280020,0.117601,0.106078,0.168148,0.023884,0.006792,0.006171,0.006708,0.006465,0.002815,0.001345,0.002131,48
behavior_cloned_skill_chain,new_skill_pair,1,0.468750,0.340528,0.315667,0.300354,0.283566,0.118351,0.106671,0.168232,0.024949,0.006913,0.006432,0.005916,0.006378,0.002777,0.001694,0.001989,48
behavior_cloned_skill_chain,new_skill_pair,2,0.477141,0.341743,0.315417,0.302000,0.284404,0.118519,0.107638,0.167831,0.020609,0.006719,0.006355,0.006486,0.006027,0.002632,0.001625,0.002126,48
behavior_cloned_skill_chain,new_skill_pair,3,0.468461,0.339913,0.315232,0.300280,0.283318,0.117121,0.106370,0.166969,0.024501,0.006605,0.006730,0.005572,0.005915,0.002850,0.001273,0.001896,48
behavior_cloned_skill_chain,new_skill_pair,4,0.469039,0.341608,0.313968,0.303401,0.283877,0.116907,0.106654,0.166919,0.021217,0.006793,0.005962,0.006013,0.006119,0.002847,0.001470,0.001791,48
behavior_cloned_skill_chain,new_skill_pair,5,0.464699,0.340160,0.314877,0.301239,0.285341,0.116857,0.106254,0.167773,0.023948,0.006745,0.006246,0.006329,0.005264,0.002761,0.001299,0.002138,48
behavior_cloned_skill_chain,new_skill_pair,6,0.468461,0.341679,0.314989,0.299543,0.285693,0.117012,0.106211,0.167564,0.024794,0.006636,0.005888,0.006738,0.005671,0.002632,0.001383,0.002119,48
behavior_cloned_skill_chain,shifted_objects,0,0.461516,0.346195,0.317069,0.297118,0.281484,0.117749,0.107677,0.168723,0.022171,0.006579,0.006409,0.006218,0.006357,0.002677,0.001666,0.001928,48
behavior_cloned_skill_chain,shifted_objects,1,0.451968,0.344786,0.318383,0.296891,0.277340,0.118420,0.107498,0.168340,0.021929,0.006491,0.006453,0.007070,0.005695,0.002703,0.001483,0.002022,48
behavior_cloned_skill_chain,shifted_objects,2,0.459491,0.345056,0.318151,0.297212,0.282045,0.117845,0.107697,0.168729,0.020710,0.006763,0.006545,0.006389,0.005631,0.002597,0.001383,0.002219,48
behavior_cloned_skill_chain,shifted_objects,3,0.441262,0.344489,0.317146,0.297540,0.279849,0.118279,0.106576,0.168392,0.017910,0.006700,0.006482,0.005633,0.005011,0.002759,0.001441,0.001827,48
behavior_cloned_skill_chain,shifted_objects,4,0.457465,0.344159,0.317623,0.301948,0.280385,0.118035,0.107498,0.165587,0.020221,0.006690,0.006174,0.006370,0.006718,0.002580,0.001502,0.001932,48
behavior_cloned_skill_chain,shifted_objects,5,0.460938,0.344412,0.317798,0.297274,0.281251,0.117808,0.105693,0.169343,0.019158,0.006614,0.006264,0.006880,0.005594,0.002756,0.001528,0.002002,48
behavior_cloned_skill_chain,shifted_objects,6,0.467014,0.343939,0.318034,0.297316,0.280566,0.118205,0.106776,0.168084,0.023500,0.006894,0.006323,0.005831,0.006156,0.002836,0.001417,0.001749,48
cem_trajectory_composer,combined_stress,0,0.548032,0.251039,0.239751,0.433873,0.424085,0.092847,0.383370,0.135928,0.018589,0.005332,0.004839,0.006555,0.006669,0.002222,0.003728,0.002085,48
cem_trajectory_composer,combined_stress,1,0.563947,0.249805,0.241458,0.433336,0.422591,0.092467,0.384637,0.135702,0.019616,0.005040,0.004752,0.006441,0.005795,0.002142,0.003939,0.001961,48
cem_trajectory_composer,combined_stress,2,0.564815,0.250071,0.241087,0.433440,0.423004,0.092821,0.384900,0.137380,0.017634,0.004912,0.004697,0.006065,0.005703,0.002060,0.003664,0.001959,48
cem_trajectory_composer,combined_stress,3,0.557292,0.249184,0.241648,0.432572,0.423520,0.093367,0.383560,0.135650,0.020547,0.005003,0.004840,0.005996,0.005772,0.001887,0.003767,0.001691,48
cem_trajectory_composer,combined_stress,4,0.568576,0.251683,0.240717,0.434088,0.420551,0.092351,0.385193,0.136029,0.021481,0.004764,0.005029,0.005620,0.005865,0.001989,0.003592,0.001877,48
cem_trajectory_composer,combined_stress,5,0.571470,0.250430,0.240939,0.435455,0.423320,0.092117,0.384268,0.134964,0.018304,0.004911,0.005029,0.006001,0.006197,0.001741,0.004041,0.002064,48
cem_trajectory_composer,combined_stress,6,0.555556,0.250575,0.240240,0.433080,0.421729,0.092174,0.384407,0.136604,0.018142,0.004982,0.005219,0.005900,0.005755,0.001949,0.003861,0.001743,48
cem_trajectory_composer,in_distribution,0,0.650752,0.216882,0.205676,0.473510,0.458721,0.083215,0.359576,0.124293,0.016650,0.005287,0.004659,0.006031,0.005993,0.001961,0.003820,0.001859,48
cem_trajectory_composer,in_distribution,1,0.642650,0.216125,0.206611,0.473225,0.458059,0.083983,0.358825,0.126002,0.020803,0.004918,0.004892,0.005060,0.006024,0.002060,0.003582,0.001686,48
cem_trajectory_composer,in_distribution,2,0.637153,0.216259,0.206118,0.473429,0.458453,0.083982,0.358996,0.124271,0.019748,0.004710,0.005103,0.006080,0.005999,0.002008,0.003881,0.001769,48
cem_trajectory_composer,in_distribution,3,0.656539,0.213631,0.206397,0.474281,0.456519,0.083115,0.358736,0.125065,0.016427,0.004301,0.004448,0.006184,0.005742,0.001755,0.003924,0.001562,48
cem_trajectory_composer,in_distribution,4,0.637442,0.215244,0.206049,0.475650,0.460966,0.082892,0.359115,0.125397,0.019013,0.004980,0.004891,0.005833,0.005389,0.002108,0.004084,0.001796,48
cem_trajectory_composer,in_distribution,5,0.643519,0.214770,0.205612,0.472536,0.460266,0.083062,0.359715,0.126101,0.016657,0.005161,0.004409,0.005829,0.005813,0.002206,0.003793,0.001923,48
cem_trajectory_composer,in_distribution,6,0.648148,0.213399,0.207028,0.471820,0.459333,0.083695,0.358984,0.125942,0.019083,0.004840,0.004402,0.005679,0.005479,0.002022,0.003604,0.001904,48
cem_trajectory_composer,long_horizon_chain,0,0.570312,0.230028,0.220744,0.458580,0.444532,0.088104,0.371157,0.129393,0.022686,0.005033,0.004814,0.005812,0.005342,0.001927,0.003582,0.001923,48
cem_trajectory_composer,long_horizon_chain,1,0.598958,0.229407,0.220816,0.458212,0.441948,0.086740,0.369960,0.129063,0.018441,0.004688,0.005273,0.005689,0.006526,0.002000,0.003713,0.002150,48
cem_trajectory_composer,long_horizon_chain,2,0.577546,0.229615,0.220696,0.456601,0.441721,0.087952,0.370211,0.129666,0.022061,0.004592,0.004571,0.006571,0.006490,0.001979,0.003963,0.002138,48
cem_trajectory_composer,long_horizon_chain,3,0.578704,0.230436,0.221465,0.459911,0.441299,0.086593,0.370148,0.128726,0.020220,0.005108,0.004813,0.005847,0.006079,0.002171,0.003777,0.001544,48
cem_trajectory_composer,long_horizon_chain,4,0.594618,0.230889,0.220784,0.458666,0.445466,0.087148,0.369987,0.130192,0.018601,0.004879,0.004658,0.006397,0.005627,0.001865,0.003878,0.001997,48
cem_trajectory_composer,long_horizon_chain,5,0.588542,0.230091,0.220602,0.455194,0.442575,0.086732,0.369522,0.130319,0.017917,0.005033,0.005101,0.006079,0.006524,0.002248,0.003959,0.001810,48
cem_trajectory_composer,long_horizon_chain,6,0.578125,0.229435,0.220463,0.454740,0.441415,0.087393,0.370374,0.130597,0.016702,0.004942,0.004953,0.005780,0.006540,0.001828,0.003801,0.001989,48
cem_trajectory_composer,new_skill_pair,0,0.610822,0.233234,0.223153,0.454360,0.441263,0.088171,0.372904,0.130099,0.017317,0.004820,0.004644,0.005294,0.005746,0.002034,0.003937,0.001795,48
cem_trajectory_composer,new_skill_pair,1,0.610532,0.232553,0.223132,0.451906,0.438033,0.088537,0.372902,0.131006,0.018464,0.004908,0.005360,0.006495,0.006106,0.001984,0.003816,0.002113,48
cem_trajectory_composer,new_skill_pair,2,0.607928,0.232819,0.222390,0.454683,0.439825,0.088266,0.372011,0.130428,0.019775,0.005054,0.004712,0.006246,0.005217,0.002050,0.003674,0.001970,48
cem_trajectory_composer,new_skill_pair,3,0.598958,0.233035,0.223527,0.458928,0.441834,0.088419,0.371696,0.128808,0.018298,0.005144,0.004717,0.006154,0.005575,0.001889,0.003902,0.001969,48
cem_trajectory_composer,new_skill_pair,4,0.619792,0.232896,0.222533,0.452883,0.439247,0.087943,0.371314,0.130424,0.018441,0.004867,0.004876,0.006341,0.005822,0.001967,0.004020,0.001814,48
cem_trajectory_composer,new_skill_pair,5,0.614583,0.232386,0.223513,0.451764,0.440599,0.087752,0.372019,0.130839,0.019206,0.004872,0.004748,0.006748,0.006307,0.001706,0.003978,0.001950,48
cem_trajectory_composer,new_skill_pair,6,0.611400,0.232678,0.222537,0.455103,0.441206,0.088218,0.372126,0.129874,0.018651,0.005045,0.004707,0.006328,0.006748,0.001706,0.003865,0.001925,48
cem_trajectory_composer,shifted_objects,0,0.595775,0.235025,0.226026,0.453533,0.440048,0.088264,0.373984,0.131150,0.019474,0.004852,0.004861,0.006461,0.005906,0.002074,0.003416,0.001819,48
cem_trajectory_composer,shifted_objects,1,0.612269,0.234158,0.224590,0.452124,0.437256,0.088375,0.372763,0.130971,0.022298,0.004977,0.004612,0.005999,0.006330,0.002022,0.003489,0.001959,48
cem_trajectory_composer,shifted_objects,2,0.607928,0.235230,0.225114,0.451700,0.440045,0.088987,0.373110,0.130485,0.022171,0.005093,0.004612,0.005825,0.005441,0.001991,0.003868,0.001692,48
cem_trajectory_composer,shifted_objects,3,0.600694,0.235963,0.223741,0.450283,0.437634,0.088898,0.375439,0.131352,0.019343,0.004635,0.004763,0.006557,0.006426,0.002002,0.003918,0.002142,48
cem_trajectory_composer,shifted_objects,4,0.612558,0.234805,0.226094,0.451077,0.438521,0.088725,0.374214,0.131147,0.019957,0.004704,0.005068,0.006429,0.005943,0.002165,0.003831,0.002164,48
cem_trajectory_composer,shifted_objects,5,0.602431,0.235497,0.225594,0.451011,0.440795,0.089334,0.372885,0.130498,0.021622,0.004836,0.004832,0.006079,0.006161,0.002060,0.004057,0.001841,48
cem_trajectory_composer,shifted_objects,6,0.611400,0.234947,0.224962,0.452826,0.436994,0.088427,0.374189,0.131096,0.014802,0.004840,0.004751,0.005437,0.005749,0.001992,0.003805,0.001985,48
diffusion_skill_stitcher,combined_stress,0,0.519097,0.284324,0.269024,0.393792,0.382191,0.100661,0.251078,0.146437,0.019914,0.005455,0.005315,0.006247,0.006777,0.002069,0.002717,0.002228,48
diffusion_skill_stitcher,combined_stress,1,0.498553,0.286106,0.267982,0.393137,0.377960,0.100822,0.251393,0.145530,0.023029,0.004948,0.005622,0.006494,0.006126,0.002056,0.002413,0.002004,48
diffusion_skill_stitcher,combined_stress,2,0.517072,0.285682,0.267748,0.391849,0.380676,0.100570,0.252240,0.146410,0.017445,0.005441,0.005333,0.005813,0.007006,0.002052,0.002801,0.001716,48
diffusion_skill_stitcher,combined_stress,3,0.519676,0.286480,0.269952,0.390523,0.376686,0.101103,0.252671,0.147286,0.020820,0.005380,0.005215,0.006226,0.006434,0.002237,0.002326,0.001924,48
diffusion_skill_stitcher,combined_stress,4,0.499421,0.285158,0.268809,0.392627,0.380622,0.100864,0.251539,0.145731,0.021657,0.005646,0.005388,0.006479,0.006257,0.002192,0.002719,0.002181,48
diffusion_skill_stitcher,combined_stress,5,0.493924,0.286494,0.268774,0.390833,0.377325,0.101185,0.252028,0.146044,0.019968,0.005097,0.005719,0.006661,0.005599,0.002122,0.002658,0.001938,48
diffusion_skill_stitcher,combined_stress,6,0.505208,0.284967,0.268285,0.392155,0.381083,0.100967,0.251702,0.146766,0.022310,0.005429,0.004989,0.006532,0.006374,0.002045,0.002644,0.001884,48
diffusion_skill_stitcher,in_distribution,0,0.617766,0.244354,0.229897,0.435955,0.420481,0.090339,0.235416,0.134515,0.020791,0.005380,0.005392,0.006823,0.006253,0.002169,0.002813,0.002232,48
diffusion_skill_stitcher,in_distribution,1,0.607928,0.244483,0.230720,0.433147,0.421577,0.091726,0.235671,0.135165,0.023731,0.005471,0.004986,0.006389,0.005879,0.002234,0.002639,0.001789,48
diffusion_skill_stitcher,in_distribution,2,0.608218,0.244809,0.230953,0.431790,0.421458,0.091536,0.235829,0.135348,0.017904,0.005470,0.005396,0.006940,0.006516,0.002030,0.002511,0.002315,48
diffusion_skill_stitcher,in_distribution,3,0.618634,0.244228,0.231174,0.435569,0.419996,0.090704,0.235991,0.134007,0.022694,0.005163,0.005516,0.006142,0.005600,0.002321,0.002755,0.001759,48
diffusion_skill_stitcher,in_distribution,4,0.628762,0.244713,0.230588,0.435113,0.422036,0.091159,0.234350,0.134542,0.019431,0.005260,0.005003,0.005977,0.006304,0.002151,0.002440,0.001753,48
diffusion_skill_stitcher,in_distribution,5,0.620660,0.244058,0.230459,0.433970,0.420146,0.091122,0.234433,0.135819,0.018145,0.005132,0.005465,0.006446,0.006114,0.002133,0.002633,0.002191,48
diffusion_skill_stitcher,in_distribution,6,0.594039,0.244417,0.228963,0.434335,0.420021,0.091522,0.235271,0.134563,0.023828,0.005617,0.005301,0.006739,0.006196,0.002176,0.002711,0.002249,48
diffusion_skill_stitcher,long_horizon_chain,0,0.544560,0.261736,0.246254,0.416202,0.403826,0.095587,0.242246,0.139897,0.020230,0.005421,0.005061,0.006739,0.006484,0.002250,0.002663,0.001951,48
diffusion_skill_stitcher,long_horizon_chain,1,0.551215,0.262953,0.246791,0.418134,0.402605,0.095021,0.243357,0.139110,0.019988,0.005562,0.005459,0.005709,0.005648,0.002019,0.002573,0.001781,48
diffusion_skill_stitcher,long_horizon_chain,2,0.539931,0.261449,0.247431,0.416247,0.404038,0.095723,0.242105,0.139916,0.020833,0.005375,0.005260,0.006863,0.006461,0.002128,0.002730,0.002104,48
diffusion_skill_stitcher,long_horizon_chain,3,0.537905,0.263186,0.247927,0.417313,0.404339,0.095101,0.243042,0.139027,0.017417,0.005841,0.005068,0.006797,0.006514,0.002201,0.002852,0.001889,48
diffusion_skill_stitcher,long_horizon_chain,4,0.550637,0.262090,0.245668,0.413837,0.403784,0.095994,0.242452,0.139841,0.017069,0.005431,0.005042,0.007278,0.006438,0.002091,0.002469,0.001942,48
diffusion_skill_stitcher,long_horizon_chain,5,0.559317,0.261165,0.247273,0.417144,0.401780,0.094875,0.242889,0.138848,0.019431,0.005120,0.005155,0.006512,0.006260,0.002176,0.002627,0.002057,48
diffusion_skill_stitcher,long_horizon_chain,6,0.539352,0.261568,0.247283,0.415582,0.402874,0.095192,0.241788,0.140437,0.017764,0.004972,0.005254,0.006584,0.006247,0.002232,0.002684,0.002028,48
diffusion_skill_stitcher,new_skill_pair,0,0.579282,0.265574,0.248358,0.413200,0.400637,0.095905,0.243456,0.140614,0.019704,0.005281,0.005448,0.006185,0.006599,0.002170,0.002742,0.002132,48
diffusion_skill_stitcher,new_skill_pair,1,0.574363,0.264715,0.249146,0.413444,0.400100,0.095994,0.244507,0.141751,0.020720,0.005388,0.005130,0.006894,0.006367,0.002235,0.002743,0.002099,48
diffusion_skill_stitcher,new_skill_pair,2,0.558449,0.265131,0.248806,0.416168,0.399355,0.095972,0.243778,0.139010,0.018641,0.005444,0.005133,0.006787,0.005902,0.002070,0.002742,0.001661,48
diffusion_skill_stitcher,new_skill_pair,3,0.569444,0.266291,0.248299,0.413898,0.401427,0.096341,0.244007,0.140090,0.018765,0.005550,0.005284,0.006121,0.006784,0.002061,0.002792,0.002113,48
diffusion_skill_stitcher,new_skill_pair,4,0.571470,0.264590,0.250303,0.413214,0.403255,0.096038,0.243232,0.140377,0.017040,0.005506,0.005073,0.007346,0.006528,0.002258,0.002855,0.002086,48
diffusion_skill_stitcher,new_skill_pair,5,0.554977,0.265543,0.249943,0.411915,0.403254,0.095666,0.242897,0.140370,0.019687,0.005475,0.005509,0.006031,0.005856,0.002245,0.002681,0.001815,48
diffusion_skill_stitcher,new_skill_pair,6,0.549479,0.265405,0.249418,0.415063,0.400409,0.096025,0.242806,0.139936,0.015860,0.005433,0.005529,0.006475,0.006508,0.002132,0.002709,0.001996,48
diffusion_skill_stitcher,shifted_objects,0,0.544271,0.267896,0.251226,0.411415,0.398719,0.097460,0.243719,0.141206,0.017714,0.005223,0.005589,0.005958,0.006557,0.002195,0.002752,0.002155,48
diffusion_skill_stitcher,shifted_objects,1,0.554977,0.267051,0.253261,0.412762,0.398345,0.096808,0.244897,0.140195,0.021899,0.005765,0.005205,0.006677,0.006876,0.002068,0.002687,0.002131,48
diffusion_skill_stitcher,shifted_objects,2,0.555556,0.268083,0.252353,0.410893,0.396736,0.095885,0.244884,0.141521,0.015800,0.005560,0.005159,0.007372,0.005636,0.002133,0.002655,0.002074,48
diffusion_skill_stitcher,shifted_objects,3,0.544850,0.267900,0.251455,0.410295,0.397116,0.096421,0.244332,0.140558,0.020937,0.005080,0.005697,0.006712,0.006258,0.002113,0.002677,0.001915,48
diffusion_skill_stitcher,shifted_objects,4,0.569444,0.267244,0.251971,0.412862,0.397742,0.096229,0.244803,0.140803,0.017739,0.005280,0.005467,0.006126,0.006012,0.002064,0.002712,0.001751,48
